dataset,mean_abs_residual_c,max_abs_residual_c,residual_std_c,correlation_with_multi_mean
NASA GISTEMP,0.019163797140954626,0.08961226976708325,0.02537727038954514,0.9980016171171711
HadCRUT5,0.024187721342531162,0.17285049049,0.031890874056776215,0.9971573178059473
Berkeley Earth HR,0.025561608568679374,0.12956208419944448,0.030947788943862374,0.9971663576069281
NOAA GlobalTemp,0.03562439690225813,0.14351763635611126,0.03401215797000414,0.997216308229104
