year,nh_no_feedback,sh_no_feedback,nh_with_feedback,sh_with_feedback
2084,2.021931359434347,1.908533014671141,2.2237643160476788,2.0925060801973974
2085,2.0231078496641617,1.9098945511999321,2.225208390960911,2.0941439129842334
2086,2.0242817593918074,1.911253211172274,2.2266493965172027,2.0957783765084304
2087,2.025453095896335,1.9126090062868264,2.2280873441213167,2.097409491817067
2088,2.026621866113655,1.9139619471865617,2.2295222442443343,2.099037277519591
2089,2.0277880767026937,1.9153120436479503,2.230954106593199,2.1006617501942255
2090,2.0289517340983463,1.9166593047358509,2.2323829402490354,2.102282924726239
2091,2.0301128445538286,1.918003738930317,2.2338087537799853,2.1039008145895286
2092,2.031271414174588,1.919345354230421,2.23523155533326,2.1055154320810106
2093,2.032427448945426,1.920684158239253,2.2366513527102554,2.107126788515735
2094,2.033580954752216,1.9220201582335183,2.2380681534278146,2.108734894389291
2095,2.0347319373992763,1.9233533612205136,2.239481964768227,2.1103397595129962
2096,2.0358804026232757,1.9246837739847833,2.2408927938200103,2.111941393126437
2097,2.0370263561043767,1.9260114031263176,2.2423006475111857,2.113539803991147
2098,2.038169803475136,1.927336255091831,2.2437055326364392,2.115135000468587
2099,2.039310750327652,1.9286583362003724,2.2451074558792694,2.116726990585066
2100,2.0404492022192735,1.9299776526642964,2.246506423830073,2.11831578208577
2101,2.041585164677178,1.9312942106064381,2.247902443000891,2.1199013824797506
2102,2.0427186432020434,1.932608016074177,2.2492955198374593,2.1214837990773754
2103,2.043849643270984,1.9339190750509585,2.2506856607290278,2.123063039021508
2104,2.044978170339911,1.9352273934657247,2.2520728720163845,2.124639109313454
2105,2.0461042298454206,1.9365329772006457,2.253457159998413,2.1262120168345864
2106,2.0472278272063154,1.9378358320974505,2.254838530937427,2.1277817683643154
2107,2.0483489678248223,1.939135963962618,2.2562169910635492,2.1293483705950855
2108,2.0494676570875727,1.9404333785716235,2.2575925465782767,2.130911830144843
2109,2.0505839003663997,1.9417280816724292,2.2589652036573913,2.132472153567424
2110,2.0516977030189634,1.943020078988341,2.260334968453352,2.1340293473612015
2111,2.0528090703892765,1.9443093762203538,2.261701847097239,2.1355834179762954
2112,2.0539180078081154,1.9455959790490698,2.263065845700345,2.1371343718205695
2113,2.0550245205933635,1.9468798931362845,2.264426970355492,2.138682215264629
2114,2.0561286140502815,1.948161124126284,2.2657852271380947,2.140226954645997
2115,2.05723029347174,1.9494396776469025,2.2671406221070396,2.1417685962725703
2116,2.058329564138398,1.950715559310412,2.268493161305409,2.1433071464255247
