year,nh_land,nh_ocean,deep_nh,sh_land,sh_ocean,deep_sh,nh,sh
1970,-1.04,-0.6,-0.5,-0.38,-0.36,-0.3,-0.77336,-0.3638
1971,0.06810708927451772,-0.4402406313774362,-0.5000579986780195,0.1529602006141948,-0.25142316454953934,-0.3000140106862625,-0.23995162944056636,-0.17459032516842987
1972,0.1499567127615863,-0.30442917714480433,-0.49966794344351534,0.21607919157844988,-0.15728204048177286,-0.2997226946030081,-0.1254011365216864,-0.08634340639033053
1973,0.22213874430633368,-0.19015423019712074,-0.4989035071195588,0.2737205800432835,-0.0753558433565505,-0.2991676623132112,-0.027710798242759696,-0.009031322910582056
1974,0.28658761547552253,-0.09310641300807045,-0.49782398804008426,0.32687940008520144,-0.003425633335886072,-0.2983830620573744,0.05649303421446519,0.05933232301412055
1975,0.3448510634226486,-0.00983779613283893,-0.4964768648588369,0.380433098245256,0.06078175731389726,-0.2973964408321192,0.12990961453202315,0.12151551209085543
1976,0.40236675869668564,0.06291048278555707,-0.4948997203421119,0.43139078744433557,0.11913633156789989,-0.2962284883651633,0.19665625549454174,0.1784646781844227
1977,0.456768555837176,0.12793059328917192,-0.49312024806078475,0.47984116173295766,0.17262547494584365,-0.29489585037865973,0.2574927505330855,0.23099645543539532
1978,0.5079275045576416,0.18666358760426646,-0.4911600810393907,0.5262068235365175,0.2220692823127715,-0.29341240996038953,0.31324157088389626,0.2798554151452832
1979,0.5564433972637745,0.24027236349448172,-0.4890368979075888,0.5708395370531981,0.26815038103657235,-0.2917897507269462,0.3648437507995831,0.3256613206797313
1980,0.6028055280142697,0.28970558070966446,-0.48676515343802335,0.6140321016486512,0.3114369723023255,-0.29003754218910627,0.41306695994767895,0.36893004687812736
1981,0.6474130484519849,0.3357371277689262,-0.4843566723734948,0.6560282351191362,0.35240201041011004,-0.288163860525191,0.45853744051805134,0.41009099310482505
