lat_band,area_weighted_trend_c_per_decade
90S-60S,0.016012729070506916
60S-30S,0.08845031099969787
30S-0,0.15192650037929706
0-30N,0.19355614199313534
30N-60N,0.2923547835818172
60N-90N,0.5585164984292079
